WMO-Station ID; StationName;                                Latitude; Longitude; Height; Country
26406;          Liepaja;                                       56.48;     21.02;      5; Latvia                                         
26422;          Riga;                                          56.95;     24.12;     35; Latvia                                         
26424;          Dobele;                                        56.62;     23.32;     43; Latvia                                         
26477;          Welikie Luki;                                  56.38;     30.60;     98; Russian Federation                             
26509;          Klaipeda;                                      55.73;     21.09;      7; Lithuania                                      
26524;          Siauliai;                                      55.94;     23.33;    107; Lithuania                                      
26531;          Birzai;                                        56.19;     24.77;     62; Lithuania                                      
26544;          Daugavpils;                                    55.94;     26.66;     99; Latvia                                         
26554;          Verkhnedvinsk;                                 55.82;     27.94;    132; Belarus                                        
26629;          Kaunas;                                        54.88;     23.84;     77; Lithuania                                      
26653;          Polotsk;                                       55.48;     28.75;    132; Belarus                                        
26666;          Vitebsk;                                       55.25;     30.25;    176; Belarus                                        
26702;          Kaliningrad (SY);                              54.70;     20.62;     27; Russian Federation                             
26730;          Vilnius;                                       54.63;     25.11;    156; Lithuania                                      
26759;          Borisov;                                       54.27;     28.50;    188; Belarus                                        
26781;          Smolensk;                                      54.75;     32.06;    238; Russian Federation                             
26825;          Grodno Airp.;                                  53.60;     24.06;    149; Belarus                                        
26850;          Minsk;                                         53.93;     27.63;    224; Belarus                                        
26863;          Mogilev Airp.;                                 53.95;     30.10;    193; Belarus                                        
26878;          Slavgorod;                                     53.45;     31.00;    171; Belarus                                        
26941;          Baranovichi;                                   53.13;     25.97;    193; Belarus                                        
26951;          Slutsk;                                        53.05;     27.55;    162; Belarus                                        
26997;          Trubchevsk;                                    52.58;     33.77;    178; Russian Federation                             
27037;          Vologda;                                       59.32;     39.92;    130; Russian Federation                             
27051;          Totma;                                         59.98;     42.77;    135; Russian Federation                             
27196;          Wjatka;                                        58.65;     49.62;    164; Russian Federation                             
27199;          Wjatka;                                        58.60;     49.62;    158; Russian Federation                             
27333;          Kostroma;                                      57.73;     40.78;    126; Russian Federation                             
27402;          Kalinin;                                       56.83;     35.90;    137; Russian Federation                             
27459;          Nizhnij Novgorod;                              56.27;     44.00;    157; Russian Federation                             
27595;          Kasan;                                         55.74;     49.20;    119; Russian Federation                             
27612;          Moskva;                                        55.83;     37.61;    157; Russian Federation                             
27648;          Elatma;                                        54.95;     41.76;    136; Russian Federation                             
27675;          Poretskoe;                                     55.18;     46.33;    136; Russian Federation                             
27707;          Suhinichi;                                     54.10;     35.35;    238; Russian Federation                             
27823;          Pavelec;                                       53.78;     39.25;    209; Russian Federation                             
27857;          Zemetchino;                                    53.48;     42.63;    131; Russian Federation                             
27995;          Samara-Bezenchuk;                              52.98;     49.43;     45; Russian Federation                             
28009;          Kirs;                                          59.35;     52.25;    169; Russian Federation                             
28064;          Leushi;                                        59.63;     65.72;     72; Russian Federation                             
28138;          Biser;                                         58.51;     58.85;    464; Russian Federation                             
28158;          Tabory;                                        58.53;     64.50;     63; Russian Federation                             
28224;          Perm;                                          57.99;     56.34;    171; Russian Federation                             
28225;          Perm;                                          58.02;     56.30;    161; Russian Federation                             
28255;          Turinsk;                                       58.05;     63.68;    103; Russian Federation                             
28275;          Tobolsk;                                       58.15;     68.25;     47; Russian Federation                             
28418;          Sarapul;                                       56.47;     53.73;    133; Russian Federation                             
28434;          Krasnoufimsk;                                  56.65;     57.78;    206; Russian Federation                             
28440;          Jekaterinburg;                                 56.80;     60.63;    237; Russian Federation                             
